new_id,argument,topic,label,weights
5991,"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol: less side-effects and less withdrawal: ""Over 41% state that they use cannabis as a substitute for alcohol, 36.1% use cannabis as a substitute for illicit substances, and 67.8% use cannabis as a substitute for prescription drugs. The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen."" [Lucas et al. Cannabis as a substitute for alcohol and other drugs: A dispensary-based survey of substitution effect in Canadian medical cannabis patients. Addiction Research & Theory. 2013]",marijuana,1,"[('Two', 0), ('of', 0), ('the', 0), ('main', 0), ('reasons', 0), ('people', 0.5823068970787582), ('switch', 1.5905259849401907), ('to', 1.5905259849401907), ('cannabis', 1.5905259849401907), ('from', 1.1588365464632013), ('pharmaceuticals', 1.1588365464632013), ('and', 0.5823068970787582), ('other', 0.5823068970787582), ('drugs', 0.5823068970787582), ('such', 0), ('as', 0), ('alcohol', 0), (':', 0.0), ('less', 1.5905259849401907), ('side', 1.5905259849401907), ('-', 0.0), ('effects', 1.5905259849401907), ('and', 1.1588365464632013), ('less', 1.5905259849401907), ('withdrawal', 1.5905259849401907), (':', 0.0), ('""', 0.0), ('Over', 0), ('41', 0.0), ('%', 0.0), ('state', 0), ('that', 0), ('they', 0), ('use', 0), ('cannabis', 0), ('as', 0), ('a', 0), ('substitute', 0.43168943847698943), ('for', 0), ('alcohol', 0.43168943847698943), (',', 0.0), ('36.1', 0.0), ('%', 0.0), ('use', 0), ('cannabis', 0), ('as', 0), ('a', 0), ('substitute', 1.0139963355557475), ('for', 0.5823068970787582), ('illicit', 1.0139963355557475), ('substances', 1.0139963355557475), (',', 0.0), ('and', 0), ('67.8', 0.0), ('%', 0.0), ('use', 0), ('cannabis', 0), ('as', 0), ('a', 0), ('substitute', 0.43168943847698943), ('for', 0), ('prescription', 0.43168943847698943), ('drugs', 0.43168943847698943), ('.', 0.0), ('The', 0), ('three', 0), ('main', 0), ('reasons', 0), ('cited', 0), ('for', 0), ('cannabis', 0), ('-', 0.0), ('related', 0), ('substitution', 0), ('are', 0), (""'"", 0.0), ('less', 0.5765296493844431), ('withdrawal', 0.5765296493844431), (""'"", 0.0), ('(', 0.0), ('67.7', 0.0), ('%', 0.0), (')', 0.0), (',', 0.0), (""'"", 0.0), ('fewer', 0.5765296493844431), ('side', 0.5765296493844431), ('-', 0.0), ('effects', 0.5765296493844431), (""'"", 0.0), ('(', 0.0), ('60.4', 0.0), ('%', 0.0), (')', 0.0), (',', 0.0), ('and', 0), (""'"", 0.0), ('better', 1.5905259849401907), ('symptom', 1.5905259849401907), ('management', 1.5905259849401907), (""'"", 0.0), ('suggesting', 0), ('that', 0), ('many', 0), ('patients', 0.5765296493844431), ('may', 0), ('have', 0), ('already', 0.5765296493844431), ('identified', 1.0082190878614326), ('cannabis', 0.5765296493844431), ('as', 0.5765296493844431), ('an', 0), ('effective', 1.0082190878614326), ('and', 0.5765296493844431), ('potentially', 0.5765296493844431), ('safer', 1.0082190878614326), ('adjunct', 0), ('or', 0), ('alternative', 0.43168943847698943), ('to', 0), ('their', 0), ('prescription', 0), ('drug', 0), ('regimen', 0), ('.', 0.0), ('""', 0.0), ('[', 0.0), ('Lucas', 0), ('et', 0), ('al', 0), ('.', 0.0), ('Cannabis', 0), ('as', 0), ('a', 0), ('substitute', 0), ('for', 0), ('alcohol', 0), ('and', 0), ('other', 0), ('drugs', 0), (':', 0.0), ('A', 0), ('dispensary', 0), ('-', 0.0), ('based', 0), ('survey', 0), ('of', 0), ('substitution', 0), ('effect', 0), ('in', 0), ('Canadian', 0), ('medical', 0), ('cannabis', 0), ('patients', 0), ('.', 0.0), ('Addiction', 0), ('Research', 0), ('&', 0.0), ('Theory', 0), ('.', 0.0), ('2013', 0.0), (']', 0.0)]"
821,"Bruce S. Cooper's reasoning lacks supporting evidence: home-schooling parents do not save the taxpayers any money just as parents' whose ill children miss several days of public school do not save taxpayers money. Nor do parents who send their children to parochial schools save tax dollars. Public schools still have to be built, maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools. Public education must plan and staff to educate _every_ child in the district. I have yet to see any empirical evidence to support the idea that home-schooling or private or religious schools save the taxpayers' money. Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems. Can anyone cite any tax bill which was reduced when when parochial schools closed? Mary Askew",a tax break,0,"[('Bruce', 0), ('S.', 0), ('Cooper', 0), (""'s"", 0), ('reasoning', 0), ('lacks', 0), ('supporting', 0), ('evidence', 0), (':', 0.0), ('home', 1.2305089770251603), ('-', 0.0), ('schooling', 1.2305089770251603), ('parents', 1.2305089770251603), ('do', 1.2305089770251603), ('not', 1.2305089770251603), ('save', 1.2305089770251603), ('the', 0.5823068970787582), ('taxpayers', 1.2305089770251603), ('any', 0.5823068970787582), ('money', 1.2305089770251603), ('just', 0), ('as', 0), ('parents', 0), (""'"", 0.0), ('whose', 0), ('ill', 0), ('children', 0), ('miss', 0), ('several', 0), ('days', 0), ('of', 0), ('public', 0), ('school', 0), ('do', 0), ('not', 0), ('save', 0), ('taxpayers', 0), ('money', 0), ('.', 0.0), ('Nor', 0), ('do', 0), ('parents', 0), ('who', 0), ('send', 0), ('their', 0), ('children', 0), ('to', 0), ('parochial', 0), ('schools', 0), ('save', 0), ('tax', 0), ('dollars', 0), ('.', 0.0), ('Public', 1.2305089770251603), ('schools', 1.2305089770251603), ('still', 1.2305089770251603), ('have', 1.2305089770251603), ('to', 0.5823068970787582), ('be', 0.5823068970787582), ('built', 1.2305089770251603), (',', 0.0), ('maintained', 1.2305089770251603), ('and', 0.5823068970787582), ('staffed', 1.2305089770251603), ('regardless', 1.2305089770251603), ('of', 1.2305089770251603), ('whether', 1.2305089770251603), ('some', 0.6482020799464021), ('families', 1.2305089770251603), ('keep', 1.2305089770251603), ('its', 0.5823068970787582), ('children', 1.2305089770251603), ('at', 0.5823068970787582), ('home', 1.2305089770251603), ('or', 0), ('choose', 0), ('to', 0), ('send', 0), ('their', 0), ('children', 0), ('to', 0), ('private', 0), ('or', 0), ('parochial', 0), ('schools', 0), ('.', 0.0), ('Public', 0.6039564779169098), ('education', 0.6039564779169098), ('must', 0.6039564779169098), ('plan', 0.6039564779169098), ('and', 0.6039564779169098), ('staff', 0.6039564779169098), ('to', 0.6039564779169098), ('educate', 0.6039564779169098), ('_', 0.0), ('every', 0.6039564779169098), ('_', 0.0), ('child', 0.6039564779169098), ('in', 0.6039564779169098), ('the', 0.6039564779169098), ('district', 0.6039564779169098), ('.', 0.0), ('I', 0.6039564779169098), ('have', 0.6039564779169098), ('yet', 0.6039564779169098), ('to', 0.6039564779169098), ('see', 0.6039564779169098), ('any', 0.6039564779169098), ('empirical', 0), ('evidence', 0.6039564779169098), ('to', 0.6039564779169098), ('support', 0.6039564779169098), ('the', 0), ('idea', 0), ('that', 0.6039564779169098), ('home', 0.6039564779169098), ('-', 0.0), ('schooling', 0.6039564779169098), ('or', 0), ('private', 0.6039564779169098), ('or', 0.6039564779169098), ('religious', 0.6039564779169098), ('schools', 0), ('save', 0.6039564779169098), ('the', 0.6039564779169098), ('taxpayers', 0.6039564779169098), (""'"", 0.0), ('money', 0.6039564779169098), ('.', 0.0), ('Flinging', 0), ('around', 0), ('statistics', 0), ('about', 0), ('the', 0), ('average', 0), ('per', 0), ('pupil', 0), ('cost', 0), ('of', 0), ('public', 0), ('education', 0), ('is', 0), ('not', 0), ('the', 0), ('same', 0), ('thing', 0), ('as', 0), ('providing', 0), ('evidence', 0), ('that', 0), ('private', 0), ('or', 0), ('home', 0), ('education', 0), ('reduce', 0), ('the', 0), ('necessary', 0), ('expenditures', 0), ('of', 0), ('public', 0), ('school', 0), ('systems', 0), ('.', 0.0), ('Can', 0), ('anyone', 0), ('cite', 0), ('any', 0), ('tax', 0), ('bill', 0), ('which', 0), ('was', 0), ('reduced', 0), ('when', 0), ('when', 0), ('parochial', 0), ('schools', 0), ('closed', 0), ('?', 0.0), ('Mary', 0), ('Askew', 0)]"
6659,"This article screams entitlement. After a year, you're an expert? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago, I can tell you that your youthful arrogance is extremely naive. Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years. In the meantime, y'all keep flitting in and out of these children's worlds and patting yourselves on the back for making such a difference. I used to admire Teach for America back in the day when it was beginning. It is now populated by such an entitled group of self-serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect. Oh, and dear - could you a) list each of the ""much easier ways to burnish a resume,"" and b) look the students and their families in the face when you speak of "",,,hard labor in some of the crummiest classrooms in America?"" I'm sure they'd appreciate the reference.",teach for america,0,"[('This', 0), ('article', 0), ('screams', 0), ('entitlement', 0), ('.', 0.0), ('After', 0), ('a', 0), ('year', 0), (',', 0.0), ('you', 0), (""'re"", 0), ('an', 0), ('expert', 0), ('?', 0.0), ('Having', 0), ('been', 0), ('in', 0), ('the', 0), ('trenches', 0), ('of', 0), ('education', 0), ('reform', 0), ('for', 0), ('25', 0.0), ('years', 0), ('before', 0), ('becoming', 0), ('a', 0), ('classroom', 0), ('teacher', 0), ('a', 0), ('few', 0), ('years', 0), ('ago', 0), (',', 0.0), ('I', 0), ('can', 0), ('tell', 0), ('you', 0), ('that', 0), ('your', 0), ('youthful', 0), ('arrogance', 0), ('is', 0), ('extremely', 0), ('naive', 0), ('.', 0.0), ('Whatever', 0), ('talk', 0), ('Washington', 0), ('is', 0), ('talking', 0), ('today', 0), ('will', 0), ('be', 0), ('different', 0), ('than', 0), ('the', 0), ('talk', 0), ('Washington', 0), ('will', 0), ('be', 0), ('talking', 0), ('in', 0), ('a', 0), ('few', 0), ('years', 0), ('.', 0.0), ('In', 0), ('the', 0), ('meantime', 0), (',', 0.0), (""y'"", 0), ('all', 0), ('keep', 0), ('flitting', 0), ('in', 0), ('and', 0), ('out', 0), ('of', 0), ('these', 0), ('children', 0), (""'s"", 0), ('worlds', 0), ('and', 0), ('patting', 0), ('yourselves', 0), ('on', 0), ('the', 0), ('back', 0), ('for', 0), ('making', 0), ('such', 0), ('a', 0), ('difference', 0), ('.', 0.0), ('I', 0.5823068970787582), ('used', 0.5823068970787582), ('to', 0.5823068970787582), ('admire', 0.5823068970787582), ('Teach', 1.83446545494207), ('for', 1.83446545494207), ('America', 1.83446545494207), ('back', 0), ('in', 0), ('the', 0), ('day', 0), ('when', 0), ('it', 0), ('was', 0), ('beginning', 0), ('.', 0.0), ('It', 0.5823068970787582), ('is', 1.186263374995668), ('now', 1.186263374995668), ('populated', 1.83446545494207), ('by', 1.83446545494207), ('such', 0), ('an', 1.186263374995668), ('entitled', 1.83446545494207), ('group', 1.83446545494207), ('of', 1.83446545494207), ('self', 1.83446545494207), ('-', 0.0), ('serving', 1.83446545494207), ('neophytes', 1.83446545494207), ('who', 1.2305089770251603), ('believe', 1.2305089770251603), ('only', 1.2305089770251603), ('they', 1.2305089770251603), ('have', 1.2305089770251603), ('THE', 1.2305089770251603), ('TRUE', 0.6482020799464021), ('answer', 1.2305089770251603), ('to', 1.2305089770251603), ('the', 0), ('problems', 1.2305089770251603), ('of', 1.2305089770251603), ('public', 1.2305089770251603), ('education', 1.2305089770251603), ('that', 0), ('I', 0.6039564779169098), ('have', 0.6039564779169098), ('lost', 0.6039564779169098), ('all', 0.6039564779169098), ('respect', 0.6039564779169098), ('.', 0.0), ('Oh', 0), (',', 0.0), ('and', 0), ('dear', 0), ('-', 0.0), ('could', 0), ('you', 0), ('a', 0), (')', 0.0), ('list', 0), ('each', 0), ('of', 0), ('the', 0), ('""', 0.0), ('much', 0), ('easier', 0), ('ways', 0), ('to', 0), ('burnish', 0), ('a', 0), ('resume', 0), (',', 0.0), ('""', 0.0), ('and', 0), ('b', 0), (')', 0.0), ('look', 0), ('the', 0), ('students', 0), ('and', 0), ('their', 0), ('families', 0), ('in', 0), ('the', 0), ('face', 0), ('when', 0), ('you', 0), ('speak', 0), ('of', 0), ('""', 0.0), (',', 0.0), (',', 0.0), (',', 0.0), ('hard', 0), ('labor', 0), ('in', 0), ('some', 0), ('of', 0), ('the', 0), ('crummiest', 0), ('classrooms', 0), ('in', 0), ('America', 0), ('?', 0.0), ('""', 0.0), ('I', 0), (""'m"", 0), ('sure', 0), ('they', 0), (""'d"", 0), ('appreciate', 0), ('the', 0), ('reference', 0), ('.', 0.0)]"
432,"Without government to ensure their behavior, companies will attempt to make a profit even to the DETRIMENT of the society that supports the business. We have seen this in the environment, in finances, in their treatment of workers and customers. Enough.",companies,0,"[('Without', 0), ('government', 0), ('to', 0), ('ensure', 0), ('their', 0), ('behavior', 0), (',', 0.0), ('companies', 1.761962454974151), ('will', 1.294648727555749), ('attempt', 1.294648727555749), ('to', 0.6464466476093469), ('make', 0), ('a', 0), ('profit', 1.761962454974151), ('even', 0.6482020799464021), ('to', 1.294648727555749), ('the', 0.6464466476093469), ('DETRIMENT', 1.761962454974151), ('of', 0), ('the', 0), ('society', 1.761962454974151), ('that', 0), ('supports', 0), ('the', 0), ('business', 0), ('.', 0.0), ('We', 0), ('have', 0), ('seen', 0.467313727418402), ('this', 0), ('in', 0), ('the', 0), ('environment', 0.467313727418402), (',', 0.0), ('in', 0), ('finances', 0.467313727418402), (',', 0.0), ('in', 0), ('their', 0), ('treatment', 0), ('of', 0), ('workers', 0.467313727418402), ('and', 0), ('customers', 0.467313727418402), ('.', 0.0), ('Enough', 0), ('.', 0.0)]"
5205,"Yes, Iran is a threat. I do not believe, it even trusts itself. Why take so many years before doing what was asked of them? The nuclear question took too long to be answered. Why would Iran want nuclear weapons ? For whom? Defensive, offensive, that was the reason. It's a country with a religious dictatorship. Trouble for the region, and still, trouble for itself......",iran,0,"[('Yes', 0), (',', 0.0), ('Iran', 1.8041791947911845), ('is', 1.8041791947911845), ('a', 1.1804861273013527), ('threat', 1.8041791947911845), ('.', 0.0), ('I', 0), ('do', 0), ('not', 0), ('believe', 0), (',', 0.0), ('it', 0), ('even', 0), ('trusts', 0), ('itself', 0), ('.', 0.0), ('Why', 0), ('take', 0), ('so', 0), ('many', 0), ('years', 0), ('before', 0), ('doing', 0), ('what', 0), ('was', 0), ('asked', 0), ('of', 0), ('them', 0), ('?', 0.0), ('The', 0), ('nuclear', 0.5765296493844431), ('question', 0.5765296493844431), ('took', 0.5765296493844431), ('too', 0.5765296493844431), ('long', 0.5765296493844431), ('to', 0.5765296493844431), ('be', 0.5765296493844431), ('answered', 0.5765296493844431), ('.', 0.0), ('Why', 0), ('would', 0), ('Iran', 0), ('want', 0), ('nuclear', 0), ('weapons', 0), ('?', 0.0), ('For', 0), ('whom', 0), ('?', 0.0), ('Defensive', 0), (',', 0.0), ('offensive', 0), (',', 0.0), ('that', 0), ('was', 0), ('the', 0), ('reason', 0), ('.', 0.0), ('It', 0.6039564779169098), (""'s"", 0.6039564779169098), ('a', 0.6039564779169098), ('country', 0.6039564779169098), ('with', 1.2276495454067415), ('a', 0.6039564779169098), ('religious', 1.2276495454067415), ('dictatorship', 1.2276495454067415), ('.', 0.0), ('Trouble', 0.6236930674898317), ('for', 0.6236930674898317), ('the', 0), ('region', 0.6236930674898317), (',', 0.0), ('and', 0), ('still', 0), (',', 0.0), ('trouble', 0.6236930674898317), ('for', 0.6236930674898317), ('itself', 0.6236930674898317), ('......', 0.0)]"
8487,"The author is correct to observe that ""...racial disparities remain alarmingly wide."" But there is no evidence to suggest that affirmative action can change that. Affirmative action is quite likely part of the problem, not the solution. It insults blacks and hispanics and breeds resentment in others. Let's stop discriminating against people because of their skin color and let's increase opportunity for everyone in our society, especially for those at the bottom of the economy.",affirmative action,0,"[('The', 0), ('author', 0), ('is', 0), ('correct', 0), ('to', 0), ('observe', 0), ('that', 0), ('""', 0.0), ('...', 0.0), ('racial', 0.9475629768445791), ('disparities', 0.9475629768445791), ('remain', 0.6482020799464021), ('alarmingly', 0), ('wide', 0.6482020799464021), ('.', 0.0), ('""', 0.0), ('But', 0.6482020799464021), ('there', 0), ('is', 0), ('no', 0.9475629768445791), ('evidence', 0.9475629768445791), ('to', 0), ('suggest', 0.9475629768445791), ('that', 0), ('affirmative', 0.6482020799464021), ('action', 0.6482020799464021), ('can', 0.6482020799464021), ('change', 0.6482020799464021), ('that', 0.6482020799464021), ('.', 0.0), ('Affirmative', 0.6236930674898317), ('action', 0.6236930674898317), ('is', 0), ('quite', 0), ('likely', 0.6236930674898317), ('part', 0.9230539643880087), ('of', 0.6236930674898317), ('the', 0), ('problem', 0.9230539643880087), (',', 0.0), ('not', 0.6236930674898317), ('the', 0), ('solution', 0.6236930674898317), ('.', 0.0), ('It', 0), ('insults', 0), ('blacks', 0), ('and', 0), ('hispanics', 0.299360896898177), ('and', 0), ('breeds', 0), ('resentment', 0), ('in', 0), ('others', 0), ('.', 0.0), ('Let', 0), (""'s"", 0), ('stop', 0), ('discriminating', 0.299360896898177), ('against', 0), ('people', 0.299360896898177), ('because', 0), ('of', 0), ('their', 0), ('skin', 0), ('color', 0), ('and', 0), ('let', 0), (""'s"", 0), ('increase', 0), ('opportunity', 0.299360896898177), ('for', 0), ('everyone', 0), ('in', 0), ('our', 0), ('society', 0), (',', 0.0), ('especially', 0), ('for', 0), ('those', 0), ('at', 0), ('the', 0), ('bottom', 0.299360896898177), ('of', 0), ('the', 0), ('economy', 0.299360896898177), ('.', 0.0)]"
181,"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",big banks,0,"[('""', 0.0), ('...', 0.0), ('one', 0), ('must', 0), ('ask', 0), ('how', 0), ('much', 0), ('money', 0), ('they', 0), ('must', 0), ('make', 0), ('to', 0), ('demonstrate', 0), ('that', 0), ('they', 0), ('are', 0), ('among', 0), ('the', 0), ('best', 0), ('managed', 0), ('companies', 0), ('on', 0), ('the', 0), ('planet', 0), ('.', 0.0), ('""', 0.0), ('They', 0), ('must', 1.294648727555749), ('make', 0.6482020799464021), ('enough', 0.6482020799464021), ('money', 0.6482020799464021), ('to', 0), ('insure', 0.6482020799464021), ('that', 0), ('they', 0), ('can', 0.6482020799464021), ('never', 1.294648727555749), ('fail', 1.294648727555749), ('and', 0.6464466476093469), ('threaten', 0.6464466476093469), ('the', 0), ('stability', 0.6464466476093469), ('of', 0.6464466476093469), ('the', 0), ('worlds', 0.6464466476093469), ('economy', 0.6464466476093469), ('again', 0), ('.', 0.0), ('That', 0), ('much', 0), ('money', 0), ('.', 0.0)]"
8849,"Vaccines are like motorcycle helmets, they protect. Some bikers say their freedom is being curtailed by having to wear a helmet. Well when a biker gets in a crash without a helmet and has serious brain damage - society will pay dearly for letting him have his freedom. Brain damaged individuals can cost society hundreds of thousands of dollar at a minimum. A drive by shooting victim can cost us over $1 million per day. The same is true for an outbreak of measels. The attempts to eliminate polio by the world continues because the costs are obvious. When in the Navy one of the officers on my ship belonged to a religious group that would not take injections. The Navy being very pragmatic discharged him with an administrative discharge - no harm done to anyone. Anyway we are part of an integrated society and public health is important to all. Public health nursing is woefully underfunded with the simple act of providing pre-natal care, a huge amount of resources and anguish can be avoided.",mandatory for all children,1,"[('Vaccines', 1.210158710857194), ('are', 0), ('like', 0.561956630910792), ('motorcycle', 0.561956630910792), ('helmets', 0.561956630910792), (',', 0.0), ('they', 0), ('protect', 1.210158710857194), ('.', 0.0), ('Some', 0), ('bikers', 0), ('say', 0), ('their', 0), ('freedom', 0), ('is', 0), ('being', 0), ('curtailed', 0), ('by', 0), ('having', 0), ('to', 0), ('wear', 0), ('a', 0), ('helmet', 0), ('.', 0.0), ('Well', 0), ('when', 0.561956630910792), ('a', 0), ('biker', 0), ('gets', 0), ('in', 0), ('a', 0), ('crash', 0), ('without', 0.561956630910792), ('a', 0.561956630910792), ('helmet', 0.561956630910792), ('and', 0), ('has', 0), ('serious', 0), ('brain', 0), ('damage', 0), ('-', 0.0), ('society', 0.561956630910792), ('will', 0.561956630910792), ('pay', 0.561956630910792), ('dearly', 0.561956630910792), ('for', 0.561956630910792), ('letting', 0.561956630910792), ('him', 0), ('have', 0.561956630910792), ('his', 0), ('freedom', 0.561956630910792), ('.', 0.0), ('Brain', 0), ('damaged', 0), ('individuals', 0.6482020799464021), ('can', 0), ('cost', 0.6482020799464021), ('society', 0.6482020799464021), ('hundreds', 0.6482020799464021), ('of', 0), ('thousands', 0.6482020799464021), ('of', 0), ('dollar', 0.6482020799464021), ('at', 0), ('a', 0), ('minimum', 0), ('.', 0.0), ('A', 0), ('drive', 0), ('by', 0), ('shooting', 0), ('victim', 0), ('can', 0), ('cost', 0), ('us', 0), ('over', 0), ('$', 0.0), ('1', 0.0), ('million', 0.6482020799464021), ('per', 0.6482020799464021), ('day', 0.6482020799464021), ('.', 0.0), ('The', 0), ('same', 0.6482020799464021), ('is', 0), ('TRUE', 0.6482020799464021), ('for', 0), ('an', 0), ('outbreak', 0.6482020799464021), ('of', 0), ('measels', 0.6482020799464021), ('.', 0.0), ('The', 0), ('attempts', 0), ('to', 0), ('eliminate', 0), ('polio', 0), ('by', 0), ('the', 0), ('world', 0), ('continues', 0), ('because', 0), ('the', 0), ('costs', 0.6482020799464021), ('are', 0), ('obvious', 0.6482020799464021), ('.', 0.0), ('When', 0), ('in', 0), ('the', 0), ('Navy', 0), ('one', 0), ('of', 0), ('the', 0), ('officers', 0), ('on', 0), ('my', 0), ('ship', 0), ('belonged', 0), ('to', 0), ('a', 0), ('religious', 0), ('group', 0), ('that', 0), ('would', 0), ('not', 0), ('take', 0), ('injections', 0), ('.', 0.0), ('The', 0), ('Navy', 0), ('being', 0), ('very', 0), ('pragmatic', 0), ('discharged', 0), ('him', 0), ('with', 0), ('an', 0), ('administrative', 0), ('discharge', 0), ('-', 0.0), ('no', 0), ('harm', 0), ('done', 0), ('to', 0), ('anyone', 0), ('.', 0.0), ('Anyway', 0), ('we', 0.5823068970787582), ('are', 0.5823068970787582), ('part', 1.1442635279895501), ('of', 1.1442635279895501), ('an', 0.5823068970787582), ('integrated', 0.5823068970787582), ('society', 1.1442635279895501), ('and', 1.1442635279895501), ('public', 1.1442635279895501), ('health', 1.1442635279895501), ('is', 1.1442635279895501), ('important', 1.1442635279895501), ('to', 0.5823068970787582), ('all', 0.5823068970787582), ('.', 0.0), ('Public', 0.5823068970787582), ('health', 0.5823068970787582), ('nursing', 0.5823068970787582), ('is', 0.5823068970787582), ('woefully', 0), ('underfunded', 0.5823068970787582), ('with', 0.5823068970787582), ('the', 0), ('simple', 0.5823068970787582), ('act', 0.5823068970787582), ('of', 0.5823068970787582), ('providing', 0.5823068970787582), ('pre', 0.5823068970787582), ('-', 0.0), ('natal', 0.5823068970787582), ('care', 0.5823068970787582), (',', 0.0), ('a', 0), ('huge', 0.5823068970787582), ('amount', 0.5823068970787582), ('of', 0), ('resources', 0.5823068970787582), ('and', 0.5823068970787582), ('anguish', 0.5823068970787582), ('can', 0.5823068970787582), ('be', 0.5823068970787582), ('avoided', 0.5823068970787582), ('.', 0.0)]"
447,"I couldn't agree more. The decision of well-meaning but ignorant people to deprive their children of vaccinations endangers not just the children, but the children of others, and vulnerable adults. Our right to choose ends when those choices result in harm to others.",mandatory for all children,1,"[('I', 0), ('could', 0), (""n't"", 0), ('agree', 0.43168943847698943), ('more', 0), ('.', 0.0), ('The', 0), ('decision', 0), ('of', 0), ('well', 0), ('-', 0.0), ('meaning', 0), ('but', 0), ('ignorant', 0), ('people', 0), ('to', 0), ('deprive', 1.0798915184233915), ('their', 0), ('children', 1.0798915184233915), ('of', 0.6482020799464021), ('vaccinations', 1.0798915184233915), ('endangers', 1.0798915184233915), ('not', 0), ('just', 0), ('the', 0), ('children', 1.0798915184233915), (',', 0.0), ('but', 0), ('the', 0), ('children', 0), ('of', 0), ('others', 0), (',', 0.0), ('and', 0), ('vulnerable', 0), ('adults', 0.43168943847698943), ('.', 0.0), ('Our', 0.6236930674898317), ('right', 0.6236930674898317), ('to', 0.6236930674898317), ('choose', 0.6236930674898317), ('ends', 0.6236930674898317), ('when', 0.6236930674898317), ('those', 0), ('choices', 1.0553825059668211), ('result', 0), ('in', 0), ('harm', 1.0553825059668211), ('to', 0), ('others', 0.6236930674898317), ('.', 0.0)]"
7458,"The best way to spur economic growth is to eliminate taxes all together. That way, we get things like roads, schools, security, and healthcare for free, and the money saved will provide a big stimulus to the economy. Something for nothing; it is a beautiful American story, isn't it?",taxing capital gains,0,"[('The', 0.6039564779169098), ('best', 1.83446545494207), ('way', 1.83446545494207), ('to', 1.83446545494207), ('spur', 1.83446545494207), ('economic', 1.83446545494207), ('growth', 1.83446545494207), ('is', 1.186263374995668), ('to', 0.6039564779169098), ('eliminate', 1.83446545494207), ('taxes', 1.83446545494207), ('all', 0.5823068970787582), ('together', 0.5823068970787582), ('.', 0.0), ('That', 0), ('way', 0), (',', 0.0), ('we', 0), ('get', 0), ('things', 0), ('like', 0), ('roads', 0), (',', 0.0), ('schools', 0), (',', 0.0), ('security', 0), (',', 0.0), ('and', 0), ('healthcare', 0), ('for', 0), ('free', 0), (',', 0.0), ('and', 0), ('the', 0), ('money', 0), ('saved', 0), ('will', 0), ('provide', 0), ('a', 0), ('big', 0), ('stimulus', 0), ('to', 0), ('the', 0), ('economy', 0), ('.', 0.0), ('Something', 0), ('for', 0), ('nothing', 0), (';', 0.0), ('it', 0), ('is', 0), ('a', 0), ('beautiful', 0), ('American', 0), ('story', 0), (',', 0.0), ('is', 0), (""n't"", 0), ('it', 0), ('?', 0.0)]"
