Delete (else flip label),HITId,topic,argument,label
,30ZKOOGW2YHIO38F2G9OX9F3JWUA1V,candidate 's spouse,"It is possible that the spouse of a Presidential candidate, although educated and a professional, living a non-political independent life, would have nothing noteworthy to say about the campaign? A spouse could have strong opinions about numersous topics and insight into the character of one's spouse, but still not be in a position, or inclined, to opine on the relevant aspects of a Presidential campaign.",1
,356TQKY9XH8IG1U2UY6J2S0LWUU87M,mandatory for all children,"Why should other people's children be put at risk for someones religious beliefs? What gives them the right to to refuse such. Why is religion allowed to negate public safety? Why do we allow religious beliefs primacy over scientific facts, and knowledge?",0
x,36D1BWBEHPCQFPZ0INZ7BJK85JX2MO,street style,with regards to that first comment about putting grafitti on t-shirts. ugh. graffiti belongs to the streets. it's not supposed to be marketed and profited upon. it's like those jerks who throw in extras on skateboards into cereal commercials. corporations trying to tap into subcultures which they know nothing about.,1
,36KM3FWE3TN0YCPZZUT49DU3DWI07R,same-sex colleges,"There are no women only law schools. Womens' colleges, like Mills College, that do offer graduate degrees have co-ed graduate schools. The example of Hillary Clinton's success at Yale Law School either says nothing about womens' colleges or supports them.",1
x,374UMBUHN707Q2HMODPP9AOMBI6CT8,taxing capital gains,"Why are savings in CD's and banks (Paying 0.2%) taxed as ordinary income? Is this not earnings that have already been taxed? The answer of course is because only the working poor and non savy save this way. For people like Mitt who game the system in hedge funds, his carried interest interest (earnings from managing others money) is taxed at 15 percent. The entire system is a joke.",1
x,37SDSEDINBD45FF05IPA1I98T8U81P,your cat,"I've had cats since I was three years old, and I work in an animal shelter. I'm wondering what planet Dr. Hart is from. No, the vast majority of cats are not trainable in any way. And so what? If you worship your slipcovers, get a goldfish, and then reconsider what is important in life. If you're worried about your autistic child getting scratched -- and how many people does this apply to?? -- get a nice yellow lab. Then have a glass of wine. But do not mutilate an animal and leave it defenseless in order to allay your neurotic concerns.",1
,386T3MLZLP64YQUI9ZLANDQYOGO80M,capital gains,"In spite of Republican whining, everybody needs Government. Somebody has got to pay, and it has to be the people who benefit from society, because there are no other sources. Bank interest is double taxed, and capital gains are and should be taxed. Contrary to the arguments that I see here, passive income is the most lethal of all to our social structure because it compounds wealth into the hands of a few lucky winners (sometimes just lucky enough to cheat), and deprives society, as a whole, of any chance to maintain a fair playing field for future generations. Capitalism is an amazing, but flawed human invention. Every once in a while capitalism and capitalists go awry. We are living in one of those times. We just need to fix that, and everything will be fine...........including the deficit.",0
,3KWGG5KP6LD3D7R2FGODNWTUHAACM7,prostituion,"We have a totally sexually repressive society which is why the question even comes up. It should be legal and under womens control as a sacrament or a temple of sexual expression. And women should have places to go too. Plus since it is expensive there should be clubs that allow sex play short of intercourse and a variety of options for members to mingle. There should be options to minister to the intimacy needy. There should be surrogates for teenagers and perhaps learner permits with sexual education. There should be confidential assistance for teenagers sexual issues, acceptable expression of parphilias and ways to explore without having actual sex. Much violence, abuse, substance abuse, breakup problems and stalking comes from limited options that produce fixations. We have to consider developing love and caring based systems rather than war based systems throughout our society.",0
,3M47JKRKCZCZC1GXBO1RWE0P1JA86N,income,"Yes, let's make college admissions (and even private K- 12 school please) based more on socioeconomics than race. In Silicon Valley, there are many non-Caucasian children of multimillionaires, who live in $3 to $15 million houses, receive as much tutoring and college counseling help as they need, attend expensive summer camps/programs, and travel the world before they are 18 years old. They don't need preferences when it comes to school and college admissions.",0
x,3N5YJ55YXIEL2AF4737MUGS6MXZAN3,minor violations,"People who are in the habit of behaving with civility tend not to commit minor crimes and to not disrespect the lives of others. Police work that enforces minor offenses and quality of life ordinances sends the message that uncivil behavior will not be tolerated. Some in poorly policed areas are characterized by a lot of people who live in distress, are exposed to criminal behavior on a daily basis, and are exposed to significant numbers of people who are used to acting out without any consequences. In such areas the worst behaving people end up determining the living conditions of all.",0
