topic,argument,tokenized_argument,label
control,"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",""" ... one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet . "" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again . That much money .",1
a modern family,"The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households (aka, public relations experts) developed stage-set performances for the public to devour. Prior to the Victorian era, those elaborate and lethally expensive weddings, coronations, and funerals - and the fairy tales that went along with them - just didn't exist.","The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households ( aka , public relations experts ) developed stage - set performances for the public to devour . Prior to the Victorian era , those elaborate and lethally expensive weddings , coronations , and funerals - and the fairy tales that went along with them - just did n't exist .",0
rim,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players. He said, I think correctly, that raising the rim would increase that advantage, not decrease it. Are you advocating raising the rim only in the NBA? Should Division I programs also follow suit. Surely high school players would not want the rim raised, many of them short and land locked. And how many players in the NBA cannot dunk? Nobody would be my guess. You want to neutralize the advantage of taller player? Box out. You want to bring back the mid range jumper? Get rid of the 3 point shot. I disagree with you Mr. Monroe, but I loved that spin move (even though I think you traveled a lot of the time cupping the ball).","Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players . He said , I think correctly , that raising the rim would increase that advantage , not decrease it . Are you advocating raising the rim only in the NBA ? Should Division I programs also follow suit . Surely high school players would not want the rim raised , many of them short and land locked . And how many players in the NBA can not dunk ? Nobody would be my guess . You want to neutralize the advantage of taller player ? Box out . You want to bring back the mid range jumper ? Get rid of the 3 point shot . I disagree with you Mr. Monroe , but I loved that spin move ( even though I think you traveled a lot of the time cupping the ball ) .",0
grade colleges,"Perhaps the government should start by rating K-12 schools. Identify the myriad failing public schools -- how hard should that be? And then, give these students vouchers to give them a shot at a meaningful K-12 education, Improve K--12 education first, and then worry about the colleges.","Perhaps the government should start by rating K-12 schools . Identify the myriad failing public schools -- how hard should that be ? And then , give these students vouchers to give them a shot at a meaningful K-12 education , Improve K--12 education first , and then worry about the colleges .",1
a gateway drug,"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol: less side-effects and less withdrawal: ""Over 41% state that they use cannabis as a substitute for alcohol, 36.1% use cannabis as a substitute for illicit substances, and 67.8% use cannabis as a substitute for prescription drugs. The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen."" [Lucas et al. Cannabis as a substitute for alcohol and other drugs: A dispensary-based survey of substitution effect in Canadian medical cannabis patients. Addiction Research & Theory. 2013]","Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol : less side - effects and less withdrawal : "" Over 41 % state that they use cannabis as a substitute for alcohol , 36.1 % use cannabis as a substitute for illicit substances , and 67.8 % use cannabis as a substitute for prescription drugs . The three main reasons cited for cannabis - related substitution are ' less withdrawal ' ( 67.7 % ) , ' fewer side - effects ' ( 60.4 % ) , and ' better symptom management ' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen . "" [ Lucas et al . Cannabis as a substitute for alcohol and other drugs : A dispensary - based survey of substitution effect in Canadian medical cannabis patients . Addiction Research & Theory . 2013 ]",0
your cat,"Good idea. I have always had a cat or two. While being inhumane, declawing places a cat in danger. Should my charming indoor kitty somehow escape outside, he would have no way to defend himself. Why don't humans have their finger-and tonails removed to save on manicures? Answer: they are important to the functioning and protection of our bodies.","Good idea . I have always had a cat or two . While being inhumane , declawing places a cat in danger . Should my charming indoor kitty somehow escape outside , he would have no way to defend himself . Why do n't humans have their finger - and tonails removed to save on manicures ? Answer : they are important to the functioning and protection of our bodies .",1
mandatory in college,"One's own, and learning another language is important and a great work out for the brain! Back in the day, I learned Spanish! In retrospect Latin would have been the better way to go, since mastery of that makes learning the languages like French, Italian, Portuguese, Romanian, and Spanish, very much easier to learn! I would recommend it, But it's 2016, and let's face it, if you lived in southern Brooklyn today, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish is the way to go! However, if one lives in the United States as a whole, circa 2016, Mandarin, has got to be the way to go! Who knew?!!! Nixon's The One.","One 's own , and learning another language is important and a great work out for the brain ! Back in the day , I learned Spanish ! In retrospect Latin would have been the better way to go , since mastery of that makes learning the languages like French , Italian , Portuguese , Romanian , and Spanish , very much easier to learn ! I would recommend it , But it 's 2016 , and let 's face it , if you lived in southern Brooklyn today , Russian , Ukrainian , Cantonese , Arabic , and Ghetto Yiddish is the way to go ! However , if one lives in the United States as a whole , circa 2016 , Mandarin , has got to be the way to go ! Who knew ? ! ! ! Nixon 's The One .",1
the rituals of adult life,"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",""" This is a rational response to the challenging economic climate . "" Herein lies a large part of the problem . We adults need to stop repeating this idea that it 's due to the economy . Seriously ? My father , who came from less than nothing , with no family to move back in with , built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits . There were no home depots or cell phones to make his life easier . He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family 's medical bills with no insurance . All with a 9th grade education . So please , stop blaming this GREAT economy ( low unemployment , low interest rates , strong markets , easy access , public assistance out the wazoo ) & start looking within .",1
young people,"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",""" This is a rational response to the challenging economic climate . "" Herein lies a large part of the problem . We adults need to stop repeating this idea that it 's due to the economy . Seriously ? My father , who came from less than nothing , with no family to move back in with , built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits . There were no home depots or cell phones to make his life easier . He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family 's medical bills with no insurance . All with a 9th grade education . So please , stop blaming this GREAT economy ( low unemployment , low interest rates , strong markets , easy access , public assistance out the wazoo ) & start looking within .",0
a gateway drug,"At 70 I can smoke pot using a vaporizer for joint pain, and feel good or not. There is no tolerance. There is no withdrawal. There is no chance of lethal seizures on cold turkey cessation of use. MJ is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high, but again no one has ever bled out from MJ. Why would a reasonable person even make the comparison between MJ and opiates, when there is no equivalency? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack. When a football player is suspended for MJ detected in his body, I know I'm in a world full of crazy people. There is no rime or reason!","At 70 I can smoke pot using a vaporizer for joint pain , and feel good or not . There is no tolerance . There is no withdrawal . There is no chance of lethal seizures on cold turkey cessation of use . MJ is not addictive , and it has never killed anyone by overdose . Opiates kill about 16 - 20 K people a year . Deaths from over the counter NSAIDS like aspirin are about as high , but again no one has ever bled out from MJ . Why would a reasonable person even make the comparison between MJ and opiates , when there is no equivalency ? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack . When a football player is suspended for MJ detected in his body , I know I 'm in a world full of crazy people . There is no rime or reason !",1
kids,"Should parents be given a shopping list or a line item veto for everything their tax dollars are involved in? Seriously? Procedures & materials for road repair? Medical practices in surgery? Proper chemicals used to treat the town water? We could all have opinions on these but are they professional or informed? Parents do not have a six-year degree and teaching license to qualify for text/curriculum/lesson plan design - just as they have no geology degree for road projects, or med degree for surgical procedures, or chemical engineering degree for civic operations. If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with vs. these private fears being foisted on the general public who want modern medecine, scholarly education, and sound civic operations to be able to do their best for us. This attitude of ""Some of my tax money is involved so I wish to inject my own set of facts and opinions with a red face and a loud voice like I've seen on Fox News"" is getting out of hand.","Should parents be given a shopping list or a line item veto for everything their tax dollars are involved in ? Seriously ? Procedures & materials for road repair ? Medical practices in surgery ? Proper chemicals used to treat the town water ? We could all have opinions on these but are they professional or informed ? Parents do not have a six - year degree and teaching license to qualify for text / curriculum / lesson plan design - just as they have no geology degree for road projects , or med degree for surgical procedures , or chemical engineering degree for civic operations . If individuals are so fearful and filled with anxiety & distrust of modern society , is nt that a private matter for the family and perhaps a mental health professional to deal with vs. these private fears being foisted on the general public who want modern medecine , scholarly education , and sound civic operations to be able to do their best for us . This attitude of "" Some of my tax money is involved so I wish to inject my own set of facts and opinions with a red face and a loud voice like I 've seen on Fox News "" is getting out of hand .",1
greater success,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution. It did not lead to the invention of the light bulb, or the telephone, or the internet, or the NYT electronic discussion board. Just ""enjoying"" life alone means you are enjoying the fruit of someone else's hard work.","The "" you have a short live , so enjoy "" attitude alone did not lead to the Renaissance , the age of Enlightment , or the Industrial Revolution . It did not lead to the invention of the light bulb , or the telephone , or the internet , or the NYT electronic discussion board . Just "" enjoying "" life alone means you are enjoying the fruit of someone else 's hard work .",1
medical websites,"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general. There was a time when the Church was against translating the Bible. (you can't have access to that, you're too much of an idiot!) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions. Excellent!","The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general . There was a time when the Church was against translating the Bible . ( you ca n't have access to that , you 're too much of an idiot ! ) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions . Excellent !",1
their land,"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge. I live on the Boise River in an area that has kept access open to the public. Just downstream, a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard. This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations. Last time the river became a bit unruly, the national guard was called out to move earth and place sandbags to protect these areas. If you receive or need public help, then you need to provide public access.","Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge . I live on the Boise River in an area that has kept access open to the public . Just downstream , a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard . This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations . Last time the river became a bit unruly , the national guard was called out to move earth and place sandbags to protect these areas . If you receive or need public help , then you need to provide public access .",0
mother teresa,"She was a criminal as far as I've ever seen and read. Too bad Christopher Hitchens weren't alive to give us the facts, not his theories about her. But for an institution that gives half hearted apologies, excuses, and outright lies, not to mention legal maneuverings to avoid criminal action, for years involving the sexual abuse of children, then shuffles its biggest criminal Bernard Law to a cushy job in Rome to avoid prosecution. Oh well. If Jesus would behave this way then I guess I know nothing of his life. For Catholics who gleefully go along with this stuff, let's not judge too harshly the extremist Muslims. The Catholics in America practice a craziness that isn't far behind.","She was a criminal as far as I 've ever seen and read . Too bad Christopher Hitchens were n't alive to give us the facts , not his theories about her . But for an institution that gives half hearted apologies , excuses , and outright lies , not to mention legal maneuverings to avoid criminal action , for years involving the sexual abuse of children , then shuffles its biggest criminal Bernard Law to a cushy job in Rome to avoid prosecution . Oh well . If Jesus would behave this way then I guess I know nothing of his life . For Catholics who gleefully go along with this stuff , let 's not judge too harshly the extremist Muslims . The Catholics in America practice a craziness that is n't far behind .",1
nations,"Quite simply, the Palestinian authority needs to recognize Israel's right to exist as a Jewish state, and Hamas (if they're a participant) needs to disavow its commitment to the destruction of Israel and the Jews. Until that happens, it's hard to see how any rational, objective person could support Palestinian statehood.","Quite simply , the Palestinian authority needs to recognize Israel 's right to exist as a Jewish state , and Hamas ( if they 're a participant ) needs to disavow its commitment to the destruction of Israel and the Jews . Until that happens , it 's hard to see how any rational , objective person could support Palestinian statehood .",0
everyone,"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people.","Mike Tyson ate meat when he was the most feared boxer in the world . He only became a vegan long after his boxing days are over , so he hardly counts as an elite vegan athlete . Similarly , Lance Armstrong did n't win all those Tour victories as a vegan . I 'd be interested to know when the other athletes Rip mentioned became vegans . I 'd bet it was long after they had become champions . In any case , for every vegan elite athlete Rip names , I can name a couple hundred omnivorous ones . So despite these examples , it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his / her nutritionally deficient vegan diet , and NOT because of it . You can go up a hill by walking on your hands . Does n't mean it 's the best or most efficient way to do it , or even that this is a possibility for most people .",0
the u.s.,"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.","Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs can not be initiated right now even with the embargo in place . But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent . Recognize mutual interests . For example , both countries have an interest in studying hurricanes , coral reefs and generally looking at climate change ; a particular threat to south Florida and Cuba . These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country .",1
sanctions,"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.","Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs can not be initiated right now even with the embargo in place . But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent . Recognize mutual interests . For example , both countries have an interest in studying hurricanes , coral reefs and generally looking at climate change ; a particular threat to south Florida and Cuba . These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country .",0
control,"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.","It should be clear by now that , given enough slack in their leash , the banks will take the path of highest leverage without concern for risk . Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough . Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else 's money and lost . We desperately need the Glass Steagall wall between deposits and investments . It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy . Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity ? The rapid rise in personal debt in the form of credit card debt , mortgages and student loans is feeding these to - big - to fail financial behemoths that throw their weight around Washington .",1
people,"Again, Pinker is only looking at certain strata of the population, the best-educated. He is ignoring the obvious evidence that a lot of poorly-educated people do not have the survival skills that our ancestors had. It is probably true that worldwide, a lot of abstract reasoning skills have diffused more widely among the general population, causing a rise in performance on IQ tests. However, when I've taught young people (as a volunteer), I've been astounded at how wide the gaps are between the small proportion of kids who can read and write and think, the largest group, who stumble over the simplest texts and cannot read aloud, and the group who don't even know what reading and writing are. Clearly, something is going on. Pinker is willfully avoiding it, because it's an embarassment to the liberal elite of which he is a part, and who are largely responsible for the decline in educational standards.","Again , Pinker is only looking at certain strata of the population , the best - educated . He is ignoring the obvious evidence that a lot of poorly - educated people do not have the survival skills that our ancestors had . It is probably true that worldwide , a lot of abstract reasoning skills have diffused more widely among the general population , causing a rise in performance on IQ tests . However , when I 've taught young people ( as a volunteer ) , I 've been astounded at how wide the gaps are between the small proportion of kids who can read and write and think , the largest group , who stumble over the simplest texts and can not read aloud , and the group who do n't even know what reading and writing are . Clearly , something is going on . Pinker is willfully avoiding it , because it 's an embarassment to the liberal elite of which he is a part , and who are largely responsible for the decline in educational standards .",1
