topic,argument,label,tokenized_argument,new_id
overcrowding,"Malthusian [mal-thoo-zhuh n, -zee-uh n] Word Origin adjective ""Malthusian. Definition: of or relating to the theories of T. R. Malthus, which state that population tends to increase faster, at a geometrical ratio, than the means of subsistence, which increases at an arithmetical ratio, and that this will result in an inadequate supply of the goods supporting life unless war, famine, or disease reduces the population or the increase of population is checked.. . ."" Todays Malthusian scholars somehow seem not to be aware that their theories of ""overcrowding"" were advanced 200 or so years ago by Tom Malthus--and haven't been validated in experience. It matters not that today's scholars cite overproduction of CO2 due to increases in population as the source of the problem, rather than inability to produce a supply of goods adequate to support life.",0,"Malthusian [ mal - thoo - zhuh n , -zee - uh n ] Word Origin adjective "" Malthusian . Definition : of or relating to the theories of T. R. Malthus , which state that population tends to increase faster , at a geometrical ratio , than the means of subsistence , which increases at an arithmetical ratio , and that this will result in an inadequate supply of the goods supporting life unless war , famine , or disease reduces the population or the increase of population is checked .. . . "" Todays Malthusian scholars somehow seem not to be aware that their theories of "" overcrowding "" were advanced 200 or so years ago by Tom Malthus -- and have n't been validated in experience . It matters not that today 's scholars cite overproduction of CO2 due to increases in population as the source of the problem , rather than inability to produce a supply of goods adequate to support life .",9407
vaccination,"We still haven't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations. We are seeing cases of measles, mumps, etc. increase, and this cannot be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated. I'm old, and when in 1st grade, I contacted German measles. NOT from someone in my class and, in fact, no one seemed to know where I contacted it. I then proceeded to infect almost all my entire class apparently. My point in telling this story is that we cannot know exactly where a child gets his contact, and therefore IMO opinion, vaccinations should be mandatory for every child entering schools from pre-K up. Until everyone - from the child who comes with their parents to America to the kiddo next door, we have to be consistent.",1,"We still have n't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations . We are seeing cases of measles , mumps , etc . increase , and this can not be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated . I 'm old , and when in 1st grade , I contacted German measles . NOT from someone in my class and , in fact , no one seemed to know where I contacted it . I then proceeded to infect almost all my entire class apparently . My point in telling this story is that we can not know exactly where a child gets his contact , and therefore IMO opinion , vaccinations should be mandatory for every child entering schools from pre - K up . Until everyone - from the child who comes with their parents to America to the kiddo next door , we have to be consistent .",9363
the status of teachers,"I wonder how having one or two Teach for America teachers at a school can make a difference. A few children, lucky to be in those classes, may benefit but how does it benefit the school as a whole? And what does it do for the morale of the regular teaching staff, many of whom may be wonderful, dedicated teachers to have these neophytes who come with a label of special, gifted drop into their schools as though manna from heaven? Finally, do these special, gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least, if not more, to do with the condition of their schools and their academic achievement than does the ability of the teacher? Can they magically help the parent who doesn't have the education to help or encourage the child? Can they promise these kids that if they work hard and do well, they will have a better life?",0,"I wonder how having one or two Teach for America teachers at a school can make a difference . A few children , lucky to be in those classes , may benefit but how does it benefit the school as a whole ? And what does it do for the morale of the regular teaching staff , many of whom may be wonderful , dedicated teachers to have these neophytes who come with a label of special , gifted drop into their schools as though manna from heaven ? Finally , do these special , gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least , if not more , to do with the condition of their schools and their academic achievement than does the ability of the teacher ? Can they magically help the parent who does n't have the education to help or encourage the child ? Can they promise these kids that if they work hard and do well , they will have a better life ?",9350
kids,"""Then numerous schools will spring up and parents will be able to pair with educators who share their views..."" I should think college admissions offiicials would be interested to know if an applicant is coming from a school whose goal is to omit significant areas of history, science, etc. What a shame for those young people who will be deemed ill-equipped to enter the world of grand ideas. Here's how it works in my house: My kids learn facts at school, we talk about the implications at home, I give them my view and tell them to form their own. To date, none of them have spontaneously combusted.",1,""" Then numerous schools will spring up and parents will be able to pair with educators who share their views ... "" I should think college admissions offiicials would be interested to know if an applicant is coming from a school whose goal is to omit significant areas of history , science , etc . What a shame for those young people who will be deemed ill - equipped to enter the world of grand ideas . Here 's how it works in my house : My kids learn facts at school , we talk about the implications at home , I give them my view and tell them to form their own . To date , none of them have spontaneously combusted .",9270
home schoolers,"Bruce S. Cooper's reasoning lacks supporting evidence: home-schooling parents do not save the taxpayers any money just as parents' whose ill children miss several days of public school do not save taxpayers money. Nor do parents who send their children to parochial schools save tax dollars. Public schools still have to be built, maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools. Public education must plan and staff to educate _every_ child in the district. I have yet to see any empirical evidence to support the idea that home-schooling or private or religious schools save the taxpayers' money. Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems. Can anyone cite any tax bill which was reduced when when parochial schools closed? Mary Askew",0,"Bruce S. Cooper 's reasoning lacks supporting evidence : home - schooling parents do not save the taxpayers any money just as parents ' whose ill children miss several days of public school do not save taxpayers money . Nor do parents who send their children to parochial schools save tax dollars . Public schools still have to be built , maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools . Public education must plan and staff to educate _ every _ child in the district . I have yet to see any empirical evidence to support the idea that home - schooling or private or religious schools save the taxpayers ' money . Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems . Can anyone cite any tax bill which was reduced when when parochial schools closed ? Mary Askew",9237
in-state students,"One of the sad consequences of this admission problem is that students attending out-of State Universities are more likely to find internships out of State and eventually jobs out of State. While this is not life threatening, nor completely negative, it does have a personal impact (somewhat like emigration)",1,"One of the sad consequences of this admission problem is that students attending out - of State Universities are more likely to find internships out of State and eventually jobs out of State . While this is not life threatening , nor completely negative , it does have a personal impact ( somewhat like emigration )",9234
overcrowding,The world already has too many people. One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living. A good example of overpopulation is Haiti. Haitian have too many babies. Their people try to migrate to other countries who spend resources to find such immigrants and deport them.,0,The world already has too many people . One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living . A good example of overpopulation is Haiti . Haitian have too many babies . Their people try to migrate to other countries who spend resources to find such immigrants and deport them .,9227
vaccination,"Vaccines are like motorcycle helmets, they protect. Some bikers say their freedom is being curtailed by having to wear a helmet. Well when a biker gets in a crash without a helmet and has serious brain damage - society will pay dearly for letting him have his freedom. Brain damaged individuals can cost society hundreds of thousands of dollar at a minimum. A drive by shooting victim can cost us over $1 million per day. The same is true for an outbreak of measels. The attempts to eliminate polio by the world continues because the costs are obvious. When in the Navy one of the officers on my ship belonged to a religious group that would not take injections. The Navy being very pragmatic discharged him with an administrative discharge - no harm done to anyone. Anyway we are part of an integrated society and public health is important to all. Public health nursing is woefully underfunded with the simple act of providing pre-natal care, a huge amount of resources and anguish can be avoided.",1,"Vaccines are like motorcycle helmets , they protect . Some bikers say their freedom is being curtailed by having to wear a helmet . Well when a biker gets in a crash without a helmet and has serious brain damage - society will pay dearly for letting him have his freedom . Brain damaged individuals can cost society hundreds of thousands of dollar at a minimum . A drive by shooting victim can cost us over $ 1 million per day . The same is true for an outbreak of measels . The attempts to eliminate polio by the world continues because the costs are obvious . When in the Navy one of the officers on my ship belonged to a religious group that would not take injections . The Navy being very pragmatic discharged him with an administrative discharge - no harm done to anyone . Anyway we are part of an integrated society and public health is important to all . Public health nursing is woefully underfunded with the simple act of providing pre - natal care , a huge amount of resources and anguish can be avoided .",9142
privatization,"Concur wholeheartedly with much of the article. The fact is, those with advanced degrees and good skill sets get much better pay and benefits in private industry and leave government on a regular basis (contrary to many of those who claim government employment compensation and benefits are better). In my own case, the private salary I was offered was 3 x the salary in government and had better benefits as well. The problems at the top are large but we never hear that from the smaller government proponents.",1,"Concur wholeheartedly with much of the article . The fact is , those with advanced degrees and good skill sets get much better pay and benefits in private industry and leave government on a regular basis ( contrary to many of those who claim government employment compensation and benefits are better ) . In my own case , the private salary I was offered was 3 x the salary in government and had better benefits as well . The problems at the top are large but we never hear that from the smaller government proponents .",9107
a gateway drug,"The only proven gateway drug for opioid abuse is prescription opioids, which are, by the way, completely legal and handed out like candy by medical professionals. Marijuana, on the other hand, has never been proven to be a gateway drug for any further drug abuse.",0,"The only proven gateway drug for opioid abuse is prescription opioids , which are , by the way , completely legal and handed out like candy by medical professionals . Marijuana , on the other hand , has never been proven to be a gateway drug for any further drug abuse .",9026
prostituion,"I strongly disagree with the author's characterization of prostitution, but strongly agree with the author's suggestion of what to do about it. Prostitutes are most certainly allowed to say no to unwanted sex. It is only because the current system within which prostitution operates has so disempowered prostitutes -- leaving them vulnerable to both their clients, their employers, and the law -- that their wishes are so easily disregarded. If the prostitution laws were reversed so that it is the johns and the pimps, not the prostitutes, who commit the crime, then prostitutes would have much greater power to avoid unwanted sexual contact and violence, and perhaps a much better chance of getting out of the business altogether.",1,"I strongly disagree with the author 's characterization of prostitution , but strongly agree with the author 's suggestion of what to do about it . Prostitutes are most certainly allowed to say no to unwanted sex . It is only because the current system within which prostitution operates has so disempowered prostitutes -- leaving them vulnerable to both their clients , their employers , and the law -- that their wishes are so easily disregarded . If the prostitution laws were reversed so that it is the johns and the pimps , not the prostitutes , who commit the crime , then prostitutes would have much greater power to avoid unwanted sexual contact and violence , and perhaps a much better chance of getting out of the business altogether .",9001
