topic,argument,label,tokenized_argument
control,"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",1,""" ... one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet . "" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again . That much money ."
a modern family,"The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households (aka, public relations experts) developed stage-set performances for the public to devour. Prior to the Victorian era, those elaborate and lethally expensive weddings, coronations, and funerals - and the fairy tales that went along with them - just didn't exist.",0,"The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households ( aka , public relations experts ) developed stage - set performances for the public to devour . Prior to the Victorian era , those elaborate and lethally expensive weddings , coronations , and funerals - and the fairy tales that went along with them - just did n't exist ."
rim,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players. He said, I think correctly, that raising the rim would increase that advantage, not decrease it. Are you advocating raising the rim only in the NBA? Should Division I programs also follow suit. Surely high school players would not want the rim raised, many of them short and land locked. And how many players in the NBA cannot dunk? Nobody would be my guess. You want to neutralize the advantage of taller player? Box out. You want to bring back the mid range jumper? Get rid of the 3 point shot. I disagree with you Mr. Monroe, but I loved that spin move (even though I think you traveled a lot of the time cupping the ball).",0,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players . He said , I think correctly , that raising the rim would increase that advantage , not decrease it . Are you advocating raising the rim only in the NBA ? Should Division I programs also follow suit . Surely high school players would not want the rim raised , many of them short and land locked . And how many players in the NBA can not dunk ? Nobody would be my guess . You want to neutralize the advantage of taller player ? Box out . You want to bring back the mid range jumper ? Get rid of the 3 point shot . I disagree with you Mr. Monroe , but I loved that spin move ( even though I think you traveled a lot of the time cupping the ball ) ."
grade colleges,"Perhaps the government should start by rating K-12 schools. Identify the myriad failing public schools -- how hard should that be? And then, give these students vouchers to give them a shot at a meaningful K-12 education, Improve K--12 education first, and then worry about the colleges.",1,"Perhaps the government should start by rating K-12 schools . Identify the myriad failing public schools -- how hard should that be ? And then , give these students vouchers to give them a shot at a meaningful K-12 education , Improve K--12 education first , and then worry about the colleges ."
a gateway drug,"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol: less side-effects and less withdrawal: ""Over 41% state that they use cannabis as a substitute for alcohol, 36.1% use cannabis as a substitute for illicit substances, and 67.8% use cannabis as a substitute for prescription drugs. The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen."" [Lucas et al. Cannabis as a substitute for alcohol and other drugs: A dispensary-based survey of substitution effect in Canadian medical cannabis patients. Addiction Research & Theory. 2013]",0,"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol : less side - effects and less withdrawal : "" Over 41 % state that they use cannabis as a substitute for alcohol , 36.1 % use cannabis as a substitute for illicit substances , and 67.8 % use cannabis as a substitute for prescription drugs . The three main reasons cited for cannabis - related substitution are ' less withdrawal ' ( 67.7 % ) , ' fewer side - effects ' ( 60.4 % ) , and ' better symptom management ' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen . "" [ Lucas et al . Cannabis as a substitute for alcohol and other drugs : A dispensary - based survey of substitution effect in Canadian medical cannabis patients . Addiction Research & Theory . 2013 ]"
your cat,"Good idea. I have always had a cat or two. While being inhumane, declawing places a cat in danger. Should my charming indoor kitty somehow escape outside, he would have no way to defend himself. Why don't humans have their finger-and tonails removed to save on manicures? Answer: they are important to the functioning and protection of our bodies.",1,"Good idea . I have always had a cat or two . While being inhumane , declawing places a cat in danger . Should my charming indoor kitty somehow escape outside , he would have no way to defend himself . Why do n't humans have their finger - and tonails removed to save on manicures ? Answer : they are important to the functioning and protection of our bodies ."
mandatory in college,"One's own, and learning another language is important and a great work out for the brain! Back in the day, I learned Spanish! In retrospect Latin would have been the better way to go, since mastery of that makes learning the languages like French, Italian, Portuguese, Romanian, and Spanish, very much easier to learn! I would recommend it, But it's 2016, and let's face it, if you lived in southern Brooklyn today, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish is the way to go! However, if one lives in the United States as a whole, circa 2016, Mandarin, has got to be the way to go! Who knew?!!! Nixon's The One.",1,"One 's own , and learning another language is important and a great work out for the brain ! Back in the day , I learned Spanish ! In retrospect Latin would have been the better way to go , since mastery of that makes learning the languages like French , Italian , Portuguese , Romanian , and Spanish , very much easier to learn ! I would recommend it , But it 's 2016 , and let 's face it , if you lived in southern Brooklyn today , Russian , Ukrainian , Cantonese , Arabic , and Ghetto Yiddish is the way to go ! However , if one lives in the United States as a whole , circa 2016 , Mandarin , has got to be the way to go ! Who knew ? ! ! ! Nixon 's The One ."
the rituals of adult life,"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",1,""" This is a rational response to the challenging economic climate . "" Herein lies a large part of the problem . We adults need to stop repeating this idea that it 's due to the economy . Seriously ? My father , who came from less than nothing , with no family to move back in with , built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits . There were no home depots or cell phones to make his life easier . He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family 's medical bills with no insurance . All with a 9th grade education . So please , stop blaming this GREAT economy ( low unemployment , low interest rates , strong markets , easy access , public assistance out the wazoo ) & start looking within ."
young people,"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",0,""" This is a rational response to the challenging economic climate . "" Herein lies a large part of the problem . We adults need to stop repeating this idea that it 's due to the economy . Seriously ? My father , who came from less than nothing , with no family to move back in with , built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits . There were no home depots or cell phones to make his life easier . He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family 's medical bills with no insurance . All with a 9th grade education . So please , stop blaming this GREAT economy ( low unemployment , low interest rates , strong markets , easy access , public assistance out the wazoo ) & start looking within ."
a gateway drug,"At 70 I can smoke pot using a vaporizer for joint pain, and feel good or not. There is no tolerance. There is no withdrawal. There is no chance of lethal seizures on cold turkey cessation of use. MJ is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high, but again no one has ever bled out from MJ. Why would a reasonable person even make the comparison between MJ and opiates, when there is no equivalency? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack. When a football player is suspended for MJ detected in his body, I know I'm in a world full of crazy people. There is no rime or reason!",1,"At 70 I can smoke pot using a vaporizer for joint pain , and feel good or not . There is no tolerance . There is no withdrawal . There is no chance of lethal seizures on cold turkey cessation of use . MJ is not addictive , and it has never killed anyone by overdose . Opiates kill about 16 - 20 K people a year . Deaths from over the counter NSAIDS like aspirin are about as high , but again no one has ever bled out from MJ . Why would a reasonable person even make the comparison between MJ and opiates , when there is no equivalency ? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack . When a football player is suspended for MJ detected in his body , I know I 'm in a world full of crazy people . There is no rime or reason !"
