Remove?,Updated topic,Updated label,topic,argument,label,tokenized_argument,new_id
,,,a gateway drug,"If we're lucky cannabis use will decrease the use of alcohol. Cannabis isn't a gateway, it's a flagstone on a well worn path. Gateway? Sugar and caffeine are the first substances that one comes I contact with with mood altering properties, followed by alcohol. How many cannabis users have never tried alcohol or coffee or sugary caffeinated soda? The detractors of cannabis always seem to have a financial interest in vilifying it.",0,"If we 're lucky cannabis use will decrease the use of alcohol . Cannabis is n't a gateway , it 's a flagstone on a well worn path . Gateway ? Sugar and caffeine are the first substances that one comes I contact with with mood altering properties , followed by alcohol . How many cannabis users have never tried alcohol or coffee or sugary caffeinated soda ? The detractors of cannabis always seem to have a financial interest in vilifying it .",6
x,,,a legitimate threat,"Also, and usually not acknowledged, is that we are slowly eroding the fertility of the soil. There is no more usable soil, we are farming everything that can be farmed. Current methods depend on petrochemical fertilizers. Even with their use, fertility is slowly declining. As human population continues to grow, the result is obvious.",1,"Also , and usually not acknowledged , is that we are slowly eroding the fertility of the soil . There is no more usable soil , we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers . Even with their use , fertility is slowly declining . As human population continues to grow , the result is obvious .",44
,,,miss america,"Splendid. Martin is right when she points out that beauty is complex and highly individual. Beauty contests are yet another way corporations manipulate us into thinking that beauty is something we can buy only if we buy their products. How many beauty contest winners publish novels, make scientific discoveries, or sit in board rooms? Perhaps there is a better way to invest $50,000 in scholarship money than to give it to the person who looks best in a bikini.",0,"Splendid . Martin is right when she points out that beauty is complex and highly individual . Beauty contests are yet another way corporations manipulate us into thinking that beauty is something we can buy only if we buy their products . How many beauty contest winners publish novels , make scientific discoveries , or sit in board rooms ? Perhaps there is a better way to invest $ 50,000 in scholarship money than to give it to the person who looks best in a bikini .",83
,,,miss america,"Most of the smartest women I know aren't competing in pageants...and the opportunities these pageants provide in cash for a few women do not undue the harm that they cause for the millions of others that watch. The only 'brainy' thing the women do on stage is anwser a one-line question. Even the volunteering component is still a bit silly. Given that volunteering is now a pre-req for college admissions, these women don't achieve much more than their peers do. These pageants seem more like finishing school for future high-end trophy wives who are well-kept and dabble in charity on the side...",0,"Most of the smartest women I know are n't competing in pageants ... and the opportunities these pageants provide in cash for a few women do not undue the harm that they cause for the millions of others that watch . The only ' brainy ' thing the women do on stage is anwser a one - line question . Even the volunteering component is still a bit silly . Given that volunteering is now a pre - req for college admissions , these women do n't achieve much more than their peers do . These pageants seem more like finishing school for future high - end trophy wives who are well - kept and dabble in charity on the side ...",112
,,,income,"It's encouraging to read about these programs. And it's especially good to hear that along with low-income students, financial aid and other support is being given to first-generation college students. It's impossible to exaggerate the difficulties many students from these backgrounds face.",1,"It 's encouraging to read about these programs . And it 's especially good to hear that along with low - income students , financial aid and other support is being given to first - generation college students . It 's impossible to exaggerate the difficulties many students from these backgrounds face .",127
,,,big banks,"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",0,""" ... one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet . "" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again . That much money .",181
,,,national security,Very one sided discussion: 1. All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market. They have to go to people who have captial. 2. Decreases in farm subsidies will decrease farm production and increase food prices for everyone. 3. Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4. Potential food shortages is a national security issue.,1,Very one sided discussion : 1 . All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market . They have to go to people who have captial . 2 . Decreases in farm subsidies will decrease farm production and increase food prices for everyone . 3 . Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4 . Potential food shortages is a national security issue .,221
,,1,farm subsidies,Very one sided discussion: 1. All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market. They have to go to people who have captial. 2. Decreases in farm subsidies will decrease farm production and increase food prices for everyone. 3. Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4. Potential food shortages is a national security issue.,0,Very one sided discussion : 1 . All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market . They have to go to people who have captial . 2 . Decreases in farm subsidies will decrease farm production and increase food prices for everyone . 3 . Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4 . Potential food shortages is a national security issue .,333
,,,research papers,"""Are research papers a waste of time?"" Absolutely not! The internet may give students and scholars easy access to sources, but many of these sources are flawed or unreliable in some way. Now more than ever, students need to know how to sift through information to find reliable sources and well-constructed arguments. Writing a research paper is still the best way to do this. Select a paper topic that you find interesting or important. Read and evaluate 10-15 reputable sources related to your topic, and then build an argument that engages with and contributes to this existing research. This might not be the most exciting assignment in the world (depends on the topic, I suppose) but it teaches skills that every college graduate should have. Really, every high school graduate ought to have this training as well. But let's not ask for the moon!",1,""" Are research papers a waste of time ? "" Absolutely not ! The internet may give students and scholars easy access to sources , but many of these sources are flawed or unreliable in some way . Now more than ever , students need to know how to sift through information to find reliable sources and well - constructed arguments . Writing a research paper is still the best way to do this . Select a paper topic that you find interesting or important . Read and evaluate 10 - 15 reputable sources related to your topic , and then build an argument that engages with and contributes to this existing research . This might not be the most exciting assignment in the world ( depends on the topic , I suppose ) but it teaches skills that every college graduate should have . Really , every high school graduate ought to have this training as well . But let 's not ask for the moon !",359
x,,,people,"""the CVS cashier who couldn't figure out how to give me 15 cents in change because ""we ain't got no dimes"" Society trembles as it awaits the day when this mindset trickles up and into the neuro-surgery operating room. (Think lobotomies performed en masse.) The mindset is already par for the course in the halls of government. Lobotomized.",0,""" the CVS cashier who could n't figure out how to give me 15 cents in change because "" we ai n't got no dimes "" Society trembles as it awaits the day when this mindset trickles up and into the neuro - surgery operating room . ( Think lobotomies performed en masse . ) The mindset is already par for the course in the halls of government . Lobotomized .",362
