AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.topic,Input.argument,Input.label,Input.tokenized_argument,Answer.feedback,Answer.selected_words,Answer.stance-prediction.con,Answer.stance-prediction.pro,Answer.word_0,Answer.word_1,Answer.word_10,Answer.word_11,Answer.word_12,Answer.word_13,Answer.word_15,Answer.word_16,Answer.word_17,Answer.word_19,Answer.word_2,Answer.word_20,Answer.word_21,Answer.word_22,Answer.word_23,Answer.word_24,Answer.word_25,Answer.word_26,Answer.word_27,Answer.word_29,Answer.word_3,Answer.word_30,Answer.word_31,Answer.word_32,Answer.word_34,Answer.word_35,Answer.word_36,Answer.word_38,Answer.word_39,Answer.word_4,Answer.word_40,Answer.word_41,Answer.word_42,Answer.word_44,Answer.word_45,Answer.word_46,Answer.word_47,Answer.word_5,Answer.word_6,Answer.word_7,Answer.word_8,Answer.word_9,Approve,Reject
3U8YCDAGXSSDRES8LV7BYO7PQ810QM,A10Q4U3BRHXXPP,Submitted,Tue Jan 05 14:54:40 PST 2021,Tue Jan 05 14:57:58 PST 2021,Fri Jan 08 14:57:58 PST 2021,198,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_22,word_23,word_24,word_45,word_46,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
3WLEIWSYHRT7AVWJHSOV8Y83WJPH2R,A1198W1SPF1R4,Submitted,Tue Jan 05 15:17:52 PST 2021,Tue Jan 05 15:36:40 PST 2021,Fri Jan 08 15:36:40 PST 2021,1128,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_24,word_26,word_27,word_34,word_36,word_42,word_44,word_45,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
3300DTYQT5TCI472T26QJD9TKARQEG,A11BACV6DY5S8M,Submitted,Tue Jan 05 18:44:17 PST 2021,Tue Jan 05 19:30:58 PST 2021,Fri Jan 08 19:30:58 PST 2021,2801,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",I feel like way more than 9 words should have been selected,"word_6,word_9,word_10,word_24,word_26,word_40,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
3QL2OFSM99UCI9AWHJ8EPVELUMACN3,A12TSLY8GXWHB4,Submitted,Tue Jan 05 14:41:03 PST 2021,Tue Jan 05 14:42:46 PST 2021,Fri Jan 08 14:42:46 PST 2021,103,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_34,word_36,word_39,word_40,word_42,word_44,word_45,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
3G5F9DBFOS9G7MUL5286A35ETHHVHC,A13XNZBCRSEGGY,Submitted,Tue Jan 05 14:51:55 PST 2021,Tue Jan 05 14:56:29 PST 2021,Fri Jan 08 14:56:29 PST 2021,274,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_22,word_23,word_24,word_36,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
34V1S5K3GVD2DQX16IC6LURRTBK96B,A14WLAP6TCEKO0,Submitted,Tue Jan 05 15:23:54 PST 2021,Tue Jan 05 15:30:13 PST 2021,Fri Jan 08 15:30:13 PST 2021,379,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_0,word_34,word_35,word_36,word_42,word_44,word_45,word_46,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
32VNZTT0AAGU23P9HBJDFH7736I4R6,A162TOBLD1669W,Submitted,Tue Jan 05 14:41:26 PST 2021,Tue Jan 05 14:44:13 PST 2021,Fri Jan 08 14:44:13 PST 2021,167,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",Interesting hit.. Im looking forward to it!,"word_0,word_34,word_35,word_36,word_42,word_44,word_45,word_46,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
30H4UDGLT5UPUGY0ANFKWGOSOGVMP9,A17FGZ1I5P9RZA,Submitted,Tue Jan 05 18:18:42 PST 2021,Tue Jan 05 18:26:00 PST 2021,Fri Jan 08 18:26:00 PST 2021,438,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_39,word_40,word_41,word_42,word_44,word_45,word_46,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
3L2IS5HSFDU843RW3ATEJ10R1MHNUO,A17NFI9O9H25MZ,Submitted,Tue Jan 05 14:53:11 PST 2021,Tue Jan 05 14:58:27 PST 2021,Fri Jan 08 14:58:27 PST 2021,316,0% (0/0),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_22,word_24,word_26,word_27,word_34,word_36,word_44,word_45,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
3KGTPGBS60XCFH23HRVURDXTQRQ2UC,A182N7RLXGSCZG,Submitted,Tue Jan 05 14:43:24 PST 2021,Tue Jan 05 14:44:43 PST 2021,Fri Jan 08 14:44:43 PST 2021,79,100% (10/10),0% (0/0),0% (0/0),Death penalty,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers. On the contrary, murder demonstrates a lack of respect for human life. For this very reason, murder is abhorrent, and any policy of state-authorized killings is immoral.",0,"Opposition to the death penalty does not arise from misplaced sympathy for convicted murderers . On the contrary , murder demonstrates a lack of respect for human life . For this very reason , murder is abhorrent , and any policy of state - authorized killings is immoral .",,"word_0,word_24,word_26,word_27,word_36,word_44,word_45,word_47",TRUE,FALSE,Opposition,to,sympathy,for,convicted,murderers,On,the,contrary,murder,the,demonstrates,a,lack,of,respect,for,human,life,For,death,this,very,reason,murder,is,abhorrent,and,any,penalty,policy,of,state,authorized,killings,is,immoral,does,not,arise,from,misplaced,,
