topic,argument,label,tokenized_argument,new_id
mandatory for all children,"Freedom has been known to come with a price. I suggest that all children who are non vaccinated wear masks in all public places, including school. Perhaps those wise, well edcated and freedom loving parents will reconsider their choice not to vaccinate.",1,"Freedom has been known to come with a price . I suggest that all children who are non vaccinated wear masks in all public places , including school . Perhaps those wise , well edcated and freedom loving parents will reconsider their choice not to vaccinate .",18904
kids,"Conservatives make me laugh when they struggle to keep their kids from learning evolution. What they're going to end up doing is keeping their children from having careers in science. Since I'm a liberal, that doesn't sound too bad to me. It keeps the competition down. People who don't accept evolution don't belong in science anyways. The more you cut out of your child's curriculum, the bigger the educational and career advantages you're handing to those kids whose parents aren't as nearly controlling and obsessive and ideologically blinkered as you are. So there is a free market solution to this problem. Maybe the Cato Institute should study that angle before they issue their next statement on the topic.",1,"Conservatives make me laugh when they struggle to keep their kids from learning evolution . What they 're going to end up doing is keeping their children from having careers in science . Since I 'm a liberal , that does n't sound too bad to me . It keeps the competition down . People who do n't accept evolution do n't belong in science anyways . The more you cut out of your child 's curriculum , the bigger the educational and career advantages you 're handing to those kids whose parents are n't as nearly controlling and obsessive and ideologically blinkered as you are . So there is a free market solution to this problem . Maybe the Cato Institute should study that angle before they issue their next statement on the topic .",9628
israel,"The Catholics fought the Protestants for centuries in Europe, angry at their cousins' conversion. Now the Israelis are beating up on, discriminating against, stealing land from, destroying the centuries-old housing of, blocking the education of, jailing for decades, their genetic cousins the Palestinians. Are they angry at their conversion to Christianity or Islam?. Why should the United States collaborate with a discriminatory state?",0,"The Catholics fought the Protestants for centuries in Europe , angry at their cousins ' conversion . Now the Israelis are beating up on , discriminating against , stealing land from , destroying the centuries - old housing of , blocking the education of , jailing for decades , their genetic cousins the Palestinians . Are they angry at their conversion to Christianity or Islam ? . Why should the United States collaborate with a discriminatory state ?",3082
big banks,"Swagel argues that because these banks haven't jeopardized the financial system recently, they no longer pose any such threat. That is illogical. It is a form of post hoc ergo propter hoc reasoning. That JPMorganChase took months to determine the real amount of the Whale's losses proves it didn't have a handle on its own trading book. So not only did JPM not control its own traders, it was in the dark about what they were doing. And this was AFTER Dodd-Frank took effect. A bank with lax internal controls cannot overcome the weakness simply be getting so big that it can afford the resulting losses. Unless one assumes otherwise, there is still the risk that as a bank with lax internal controls grows, it's problems and risk to the system will grow correspondingly.",0,"Swagel argues that because these banks have n't jeopardized the financial system recently , they no longer pose any such threat . That is illogical . It is a form of post hoc ergo propter hoc reasoning . That JPMorganChase took months to determine the real amount of the Whale 's losses proves it did n't have a handle on its own trading book . So not only did JPM not control its own traders , it was in the dark about what they were doing . And this was AFTER Dodd - Frank took effect . A bank with lax internal controls can not overcome the weakness simply be getting so big that it can afford the resulting losses . Unless one assumes otherwise , there is still the risk that as a bank with lax internal controls grows , it 's problems and risk to the system will grow correspondingly .",7491
control,"Swagel argues that because these banks haven't jeopardized the financial system recently, they no longer pose any such threat. That is illogical. It is a form of post hoc ergo propter hoc reasoning. That JPMorganChase took months to determine the real amount of the Whale's losses proves it didn't have a handle on its own trading book. So not only did JPM not control its own traders, it was in the dark about what they were doing. And this was AFTER Dodd-Frank took effect. A bank with lax internal controls cannot overcome the weakness simply be getting so big that it can afford the resulting losses. Unless one assumes otherwise, there is still the risk that as a bank with lax internal controls grows, it's problems and risk to the system will grow correspondingly.",1,"Swagel argues that because these banks have n't jeopardized the financial system recently , they no longer pose any such threat . That is illogical . It is a form of post hoc ergo propter hoc reasoning . That JPMorganChase took months to determine the real amount of the Whale 's losses proves it did n't have a handle on its own trading book . So not only did JPM not control its own traders , it was in the dark about what they were doing . And this was AFTER Dodd - Frank took effect . A bank with lax internal controls can not overcome the weakness simply be getting so big that it can afford the resulting losses . Unless one assumes otherwise , there is still the risk that as a bank with lax internal controls grows , it 's problems and risk to the system will grow correspondingly .",7495
immigration,"So the 65% of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns, cities and country. Enough. Stop the flow by eliminating the benefits.",0,"So the 65 % of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever ? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns , cities and country . Enough . Stop the flow by eliminating the benefits .",6865
tfa,"Teach for America has done nothing for public school teachers's status. The only thing it has done is fetishize its own image, to create a trendy CV filler for cossetted Ivy Leaguers. The vast majority of TFA teachers don't stay in the profession, so the job becomes little more than a balm for their conscious before they move on to JP Morgan Chase and like-minded capitalist enterprises. It takes more than two years to become a good teacher, so if TFA has such a low retention rate for its students, how can it be rated a success? The fact that admission is difficult doesn't mean its a good program.",0,"Teach for America has done nothing for public school teachers 's status . The only thing it has done is fetishize its own image , to create a trendy CV filler for cossetted Ivy Leaguers . The vast majority of TFA teachers do n't stay in the profession , so the job becomes little more than a balm for their conscious before they move on to JP Morgan Chase and like - minded capitalist enterprises . It takes more than two years to become a good teacher , so if TFA has such a low retention rate for its students , how can it be rated a success ? The fact that admission is difficult does n't mean its a good program .",10534
the status of teachers,"Teach for America has done nothing for public school teachers's status. The only thing it has done is fetishize its own image, to create a trendy CV filler for cossetted Ivy Leaguers. The vast majority of TFA teachers don't stay in the profession, so the job becomes little more than a balm for their conscious before they move on to JP Morgan Chase and like-minded capitalist enterprises. It takes more than two years to become a good teacher, so if TFA has such a low retention rate for its students, how can it be rated a success? The fact that admission is difficult doesn't mean its a good program.",0,"Teach for America has done nothing for public school teachers 's status . The only thing it has done is fetishize its own image , to create a trendy CV filler for cossetted Ivy Leaguers . The vast majority of TFA teachers do n't stay in the profession , so the job becomes little more than a balm for their conscious before they move on to JP Morgan Chase and like - minded capitalist enterprises . It takes more than two years to become a good teacher , so if TFA has such a low retention rate for its students , how can it be rated a success ? The fact that admission is difficult does n't mean its a good program .",18195
unpaid intenship,It's terrifying. I know a lady who just got her degree in marketing at 42 years old and she wants to get into the field. But another employee mentioned that she has no experience and has no way to get a job. So what is the point of even educating oneself if employers require someone strait out of school to have to have relevant experience that they weren't qualified to obtain before they got their degree. It's like the catch-22 from hell.,0,It 's terrifying . I know a lady who just got her degree in marketing at 42 years old and she wants to get into the field . But another employee mentioned that she has no experience and has no way to get a job . So what is the point of even educating oneself if employers require someone strait out of school to have to have relevant experience that they were n't qualified to obtain before they got their degree . It 's like the catch-22 from hell .,17251
a harmful atmosphere for gays,"The LGBT minority must repent for not valuing and respecting the non-LGBT majority. As far as we know all of the disciples were heterosexual married men. Jesus was not engaged in a gay pride parade during his 3 year ministry. And Jesus did not just come to suffer without knowing the joys of food, dancing, alcolhol and sex. And we do know that without the two biological human sexes contributing an XX and an XY that the human race would be doomed. Tolerance and equal treatment is the minimum expected for all human beings. The LBGT that were targeted in Orlando were predominantly black African American and brown Latino Hispanic American.",0,"The LGBT minority must repent for not valuing and respecting the non - LGBT majority . As far as we know all of the disciples were heterosexual married men . Jesus was not engaged in a gay pride parade during his 3 year ministry . And Jesus did not just come to suffer without knowing the joys of food , dancing , alcolhol and sex . And we do know that without the two biological human sexes contributing an XX and an XY that the human race would be doomed . Tolerance and equal treatment is the minimum expected for all human beings . The LBGT that were targeted in Orlando were predominantly black African American and brown Latino Hispanic American .",9695
